KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]

u	的
vab	胶
noj	玑
vpc	胀
xbt	庸
pwd	衙
eai	乞
bcq	媚
vejk	膝
bku	逮
wlz	宛
gzv	翔
mbg	夷
nri	骚
lfl	荆
ezo	杭
tqem	裸
lav	乖
bmb	姨
dfc	哑
dtd	嚷
onw	旺
rid	叉
hmg	恍
hun	惶
ddo	咒
zvf	镖
grl	亨
edd	窜
efb	杖
clae	蝶
wuc	逸
bdh	恕
unk	搏
cx	焰
ixv	绣
fhd	禧
kytg	淫
fya	丐
mut	碑
tup	鹅
lknf	蒲
ahq	阐
ytm	轿
jhn	伞
lfh	蔽
djk	咐
pww	兆
mbbb	爽
mni	豹
bzi	弦
lie	薪
woa	冥
udv	捐
slfo	谎
hag	愧
tdg	衷
jghm	倏
mgdt	猿
dgg	哇
pyd	粘
npem	栽
knf	浦
ute	掀
vvo	脂
dno	嘲
ennw	框
onn	矩
wgg	龟
rrr	叠
swf	谊
wwj	脊
apd	刮
wtt	兔
dyv	哨
qrb	娶
qdf	聘
hid	慨
jmo	俺
drr	嗓
pqs	舅
wqv	寓
nyf	戚
jl	仑
ihx	恳
abq	瘤
ucs	掘
khg	浴
joo	倡
tq	裹
goc	圳
knn	渠
zni	钓
kakm	涵
ksr	泼
wer	瓷
ft	祈
ewa	窄
utf	拂
oqe	巢
yob	贞
iyt	纱
iat	绑
lnu	茂
mmai	砖
shc	谱
gvw	坟
dtmm	噢
mw	硕
jyi	侄
phy	蹲
tae	甩
nbm	匈
vsg	胳
zbg	躬
wvfh	徽
pdt	邵
ync	蜀
rpr	篮
pri	竖
hpw	颁
fsf	焉
gwc	壶
kbw	浸
lna	萄
jmh	僚
nhp	玫
efof	桓
ebb	攀
uvvh	撰
nor	旬
boh	媳
dhd	嘻
lak	蒸
tbt	裙
kpr	滥
hdd	愕
sobi	讽
teq	霜
spd	诏
pdd	躁
xdl	厘
hnf	憾
erj	帘
lhv	巷
kwhg	溶
dos	勋
zqt	亩
oet	晰
klwr	滞
pyh	舆
nfd	咸
pzj	衔
tft	邱
ujjg	挫
uasg	搁
exg	桩
yui	雀
nxs	辣
swt	诧
djvn	哗
cpb	屡
djv	喻
eaf	窑
pye	踩
lxn	鸦
abt	郊
eta	株
xoj	秃
fbk	禄
xfo	厦
zjj	卒
kid	丸
qrr	聂
xju	雁
nee	琳
zsl	虏
kbn	汝
vc	肢
dcg	咕
qwp	耽
dsd	咖
cun	煌
pbv	肆
dlh	哄
fhl	弊
qch	耿
dad	叮
jhh	倦
vuk	腺
zes	彪
wux	鹤
opr	尴
uoi	巩
eec	焚
qhl	饼
dnrt	鄙
utl	拢
qlq	瞄
nes	勿
lnp	菊
xeqm	厢
vwl	腕
vle	斋
swa	诈
dxu	呜
hgk	怯
zak	铸
snj	诀
idv	绢
uag	魄
bwl	婉
ubn	兜
kog	涅
zrdf	禀
nmh	驴
tgt	垄
ujzv	擒
rjr	囚
ulw	捞
iub	舶
jmz	倚
dws	喀
ofp	贱
wxh	稣
avq	冀
xzj	厄
kka	溢
vnc	炭
xov	稽
kkm	渗
kil	泣
ald	罐
cqi	螺
pks	衍
mab	狡
ekt	桶
goz	塌
azj	卸
dzht	嘶
roi	帆
jtm	侨
zuc	逗
oaw	昧
lomn	蓦
geq	坎
ewk	棺
lng	荐
svu	雌
evv	棚
iav	靖
rti	裴
evx	栖
znw	钧
oxr	贩
drf	啡
tkc	衬
hdp	兑
eiw	榜
ajd	魁
spu	谜
vvg	毙
ztk	麽
fhqm	瞥
ilf	纺
uhm	掷
prv	肾
ccc	烛
szj	谬
zuf	锻
lmh	芦
vhe	膨
nic	珊
pid	刃
tyo	隙
kkkg	垒
bxh	嫩
zvy	钥
gxb	塘
xnw	韵
oeg	旱
wed	咨
dxp	喇
nwv	驼
hkw	颂
cdns	譬
btp	尹
jiw	傍
glf	坊
din	哟
hkc	忖
tek	霉
leh	苹
jty	佣
upb	搂
got	堤
hkd	怡
kna	淘
sla	谍
lkt	藩
otr	贬
hbt	斧
pgc	糕
jvp	俞
vxw	颖
meh	砰
xyp	稻
qvc	熙
fpa	盏
sem	棠
pxy	黯
tdd	襄
cqf	烤
xxhs	詹
qoc	煮
aaw	魅
lio	蕴
svv	谐
sjvp	谕
nsg	骆
ure	捆
oqep	剿
ewp	枕
ydy	轴
rdy	笛
uhh	挟
jvpu	逾
dgp	咧
vfps	斌
ujk	捡
gtd	壤
jpp	黛
kpd	沼
yfd	辐
bdf	娱
kyf	淑
kmo	淹
ena	窦
dmj	呐
cvs	灿
sdu	迦
iog	绅
jzb	禽
mq	犬
jav	倩
ixe	彦
jsd	伽
piw	蹄
enb	枢
duu	啪
ibn	妾
ukw	搅
kns	汁
wz	凛
gwe	羡
jaf	伺
cib	蚁
idpd	剖
ridl	幢
iab	绞
qxc	瞅
jyv	俏
bdv	娟
mqor	奢
vnk	膊
sck	谴
fmj	丙
kwth	滨
ehe	窥
rvw	斐
fak	祷
lalo	藉
shp	敞
xzht	厮
oun	凰
dsg	咯
vwy	顷
ktf	沸
img	绸
eui	椎
lwn	莹
ukig	垫
xzje	廖
uxv	捣
dzj	叩
clo	蜡
jek	侮
qkq	眸
mnu	逛
lhf	芙
cyt	炒
sya	谣
kfe	沫
dw	咋
fsc	屯
cyv	屑
nag	瑰
vkhh	峻
dwf	喧
ovx	晒
lml	莽
os	矢
aphc	熬
tlh	龚
ufh	撇
ebo	梳
ygh	醇
cnx	辜
eau	迄
otv	匙
bao	嫉
qqo	睹
ziw	镑
skt	诵
dom	嗅
agy	痒
vem	栗
hhw	颊
ibm	缅
ink	缚
eoo	樱
bmh	妒
xpl	麟
yvu	逍
kvo	潭
lhx	芯
gct	郝
cta	蛛
hzo	凳
tnvg	堕
uit	揉
but	婢
ekhh	梭
dia	嗣
zdf	虞
gil	垃
bci	妓
zhas	勘
rha	篷
wa	乍
emf	桐
ipb	缕
dvb	叱
wgyx	鲸
onv	贿
phb	趴
efa	朽
mgg	硅
mggt	奎
zyt	钞
mgka	磕
nya	瑶
tnu	隋
hhr	憎
lyn	蔑
gcr	馨
edk	杏
ery	栋
cio	昼
lgj	苟
vol	腥
lyl	萝
brb	弩
mbk	碌
wab	寝
jxb	倭
gmma	垮
vobi	岚
cdd	燥
bql	姥
kjl	沦
fpe	兀
zod	铅
myt	砂
hfa	兮
kqn	牟
npd	哉
alks	浆
zbj	虐
dhk	嗡
oxg	旷
kfq	沮
ryd	帖
sta	诛
wpl	鳞
kxg	涯
xnqu	遁
khz	澄
zll	锤
kyp	滔
wlo	寞
abn	妆
pvv	蹦
tmpe	阮
loms	募
nlh	敷
qpm	眯
kbmk	汹
dqot	嘟
ttg	霆
ton	褐
qak	畴
fmc	蚕
dyy	嚼
hym	奠
ebq	榴
usm	拙
qcc	蚀
ltv	荫
jdx	鸽
dmbg	咦
nqt	甸
dci	吱
kht	泌
lomo	暮
upf	挠
dhb	叭
cgt	灶
vtu	峨
lwh	蓉
lghh	菱
xui	稚
kdd	澡
loy	蔓
kwf	泻
fkit	裘
kof	溅
akf	丞
xbj	秉
ipn	绒
onfu	遏
eees	彬
coh	熄
vlw	朦
nji	琢
gvy	膏
kik	泳
cgm	凿
jkfh	敛
xmh	庐
hyt	惭
qhu	畔
kjz	沧
yii	酿
ajp	阀
zvw	虔
jdd	侣
nwb	匀
uak	拯
lwx	莺
vfa	屿
kmh	沪
pgr	叟
lkde	藻
ziu	雍
arui	瘫
pyp	蹈
upr	揽
vru	氢
wadh	豁
fkh	骸
tfm	陋
uwd	捂
wkd	冶
hxt	懈
geh	坪
ltb	蔬
pfpz	翘
dfop	嘎
iiw	缔
zag	钮
btu	娥
soj	讥
owd	晤
cni	灼
iwv	舵
igw	纬
gcj	圾
kax	澜
lru	茎
ddmt	鄂
gd	歹
xbte	邹
enw	枉
nbo	琉
xvv	庇
ees	杉
pnr	跋
eyv	梢
zup	戳
chq	蝉
vcc	毯
lxb	萎
sti	裳
iyo	绰
jnd	佑
mdl	狸
ukl	拚
ecs	窟
mbo	硫
vpmo	腻
fhh	憋
mfi	凹
ona	赎
vmz	崎
cby	烁
ddw	嚣
cxm	焕
oqor	暑
uug	扛
vb	匕
uvl	揣
vfi	凸
kdh	怠
yej	觅
dnb	呕
ltkh	孽
eyl	楞
otmp	矫
klb	潇
rle	簇
kpf	浇
emw	枣
iyb	绥
lly	芽
cdm	蝇
jcd	僻
eoz	榻
wqc	宦
kem	沐
kuu	毋
mla	碟
jgs	仕
pns	戎
dog	呻
diw	啼
cfy	虾
ebbm	樊
ewf	棕
lov	萌
bfs	嫣
jjks	伶
tyv	鞘
ipd	删
vze	嵌
ocm	暇
cab	蛟
lrm	茵
noc	驯
czo	炕
mvn	碳
kaec	烫
dhw	咚
llz	苑
cnm	蚂
xhs	厥
tvw	雯
gchp	赦
hxb	慷
kor	旭
hvpc	煎
hon	惕
xow	颓
gob	坝
hoe	悍
nln	匿
ddde	噪
kdmj	涡
tdv	禹
fhp	敝
aug	缸
rkn	簿
gog	坤
nyo	琐
cvw	蚊
vpm	粟
spl	诫
fnuu	髓
eeo	梵
khsv	溯
ccv	蝴
ojp	尬
kpi	涩
uxc	揪
ebt	窘
eme	棘
nca	盔
dcy	喔
bwo	婶
pxl	踱
dqo	嗜
dut	啤
dnf	哺
zcm	奕
kgh	淳
ztd	镶
otm	晌
plh	粪
zix	铲
njv	瑜
wji	冢
dllg	唾
xmo	庵
uxz	扼
tqe	聋
xbjr	庚
vsgt	膛
amb	疤
dpd	叨
jhw	佟
ivv	绷
egh	棱
hqr	慑
rhn	筷
xlc	庶
khx	沁
kqy	渺
fnu	迂
xpem	梨
ury	拣
lcv	葫
kvp	浏
ewx	橡
uxr	扳
dzc	嘘
qgt	牡
owf	贮
euf	窍
teef	襟
hhqm	眷
byg	弧
anq	癫
lne	葱
lph	熏
dcgi	噗
cmd	炯
xwj	稼
tnp	鞠
hsv	朔
eic	栅
tib	霎
nsj	匣
xop	厕
qzi	眩
hpv	岔
ipr	缆
sxh	谏
dxz	呃
dwd	唔
gwzh	懿
zhaj	斟
uwa	拧
dsf	嗤
miw	磅
pfpe	尧
wqo	鳍
vkc	肘
rdh	帜
oek	晦
ugu	搓
bpb	粥
eob	枫
nzhb	琪
tmh	裔
xne	彰
qxx	瞻
dmb	邑
dzo	吭
gfof	垣
dxe	嗽
uqd	皓
reg	竿
dgj	嚎
uoa	拽
jppe	倪
vtl	胧
vyv	峭
jghp	攸
nyn	瓣
hph	忿
uhb	扒
dim	嘀
ale	桨
zui	锥
efo	梗
phz	蹬
tmd	夭
jjk	俭
kss	淌
xgh	廓
kcc	浊
mnf	碱
thu	迭
sgw	讳
dnu	逞
bit	邸
ezrf	檀
mpl	磷
unfh	撼
piig	踉
bfcy	娅
iwt	绽
dll	哆
suj	诬
tjv	靴
mgt	冉
lby	芸
yim	奚
wyv	宵
nonp	戟
eae	札
cgg	蛙
lghu	擎
kfr	沛
myv	硝
vcs	崛
efy	槽
dpb	喽
muc	礁
dqh	哮
vqhx	腮
cod	蜘
bagt	妞
afi	刁
ejn	栓
cwh	熔
htm	懊
zxb	铮
jpf	侥
cdh	炽
tmu	鞑
vcf	胚
lzk	苛
hlu	迸
aph	敖
ypu	轼
fte	祁
ukm	拇
eyi	窒
flt	邢
yni	酌
xhb	柬
hyo	悼
nlm	瑛
qwy	颐
uxp	掐
mzjn	猝
irr	缀
zyl	锣
qtm	饷
ggyb	卦
ggj	壕
dru	噬
bdi	絮
vyt	崭
qco	馈
tyvy	霄
lno	荀
vja	岑
tqo	褚
digt	墅
gzc	墟
gkd	殆
khtf	涕
nkhh	骏
nqff	矗
wrf	徘
rtp	幡
tpdy	釉
dnq	嗔
cmz	煽
ylo	醋
nnw	匡
twb	鞍
tfe	袜
wzj	寥
eag	槐
yfs	罡
lvx	茜
ukiu	挚
iuf	缎
lwv	薇
agg	闺
kzha	湛
hav	悯
dnv	咆
ekb	毓
lomu	摹
ycw	颅
ttl	陇
dzh	唬
zfy	钙
izj	缪
aly	酱
acc	痰
zccg	锯
czi	炫
tcd	霹
eug	杠
phx	忒
htl	懦
rnm	笃
miz	翩
exxs	檐
btv	婿
uwpw	搀
vsl	肋
igt	垦
kmi	汰
ukt	捅
xtp	蟹
rbp	箫
ujn	拴
gae	羌
ihu	绊
dnwi	嗦
kjd	洽
kol	瀑
nub	珀
iru	绎
hgkc	恃
nru	驿
clml	蟒
umhy	撩
uzs	掳
uiv	抒
ckq	犀
lmb	芭
izi	舷
vgr	甄
ujks	拎
exz	橱
qgh	睦
clhv	臀
bsr	嫦
bae	娴
trpa	粤
lhhh	蕊
ninx	辫
hyy	酋
mwa	狞
sfq	诅
pak	踌
gxu	坞
keo	渣
kh	亥
vxba	巍
zrf	靡
aoa	瘟
qqu	瞿
hqhx	惫
tdo	陨
vnf	脯
fcg	骷
vlf	肪
fvs	祀
faf	祠
udq	揖
onep	剔
vgh	膳
doj	叽
zfs	钝
idq	缉
mfq	狙
tmb	靶
wrd	徊
vbk	氯
ajz	疮
lcf	蔚
dvxn	鹃
dsvy	啃
urq	皂
ahs	阙
wdl	鲤
vgk	峙
vwb	氨
qvr	禺
afmh	舔
nqi	骡
ac	闽
xvl	秽
avw	闵
dtl	咙
ncv	瑚
bhd	嬉
upug	拭
vzo	肮
jql	佬
vis	紊
mwk	狩
hyd	咎
efp	栈
dke	嗨
gno	殉
rom	幌
lkd	苔
vgg	嵩
rzb	篱
htp	剃
fdm	氓
bga	婷
ofm	昊
mrp	砌
igh	绫
jgy	佯
vss	巳
hnw	悖
cfm	炳
djz	呛
kssw	濒
cpm	屎
kad	汀
qvf	瞟
hhp	孜
vcq	嵋
xpq	犁
uaim	揍
lgw	苇
ukme	掺
psi	趾
yek	酶
ejv	榆
tee	霖
gpi	韧
uqf	拷
jll	侈
mhb	肇
qqe	饵
ywl	舜
cpc	兢
yai	臻
utq	擂
mfg	猾
hta	恤
tka	隘
hlq	忏
cunw	蝗
jadw	颔
imz	绮
nmzk	琦
szv	诩
zri	钗
lsd	茄
xhp	敕
ghq	睿
dwo	噜
poe	跺
jqt	佃
zje	戮
gdw	颉
zdy	铀
jcs	倔
luch	蕉
tggy	褂
kbww	溺
slo	谟
uwm	皖
mob	狈
ndd	噩
pqd	糙
atx	瘾
jtgo	赁
gnf	埔
dsm	咄
qmz	畸
xnh	赣
euc	樵
zoj	亢
jdo	侃
bim	嫡
qnn	眶
khe	涤
uja	捻
kxn	鸠
uoe	捍
ldu	芜
yxh	酥
cla	屉
qpw	眺
udm	抿
ybv	辙
piv	胤
asj	闸
cam	蛊
tiu	褪
aphw	鳌
wlf	彷
jkz	翎
eeb	婪
tah	衅
moo	猖
ull	捶
jci	伎
ewd	梧
kgg	洼
diy	吆
eyf	椒
qid	瞳
nid	勺
nlc	卉
rme	竺
dpg	嗖
kwt	淀
clh	烘
axmm	痪
ceq	炊
xem	枭
pev	髦
yae	轧
moj	矶
zzg	钳
xmg	稠
nuu	戊
ytn	羁
nxn	璋
dpm	咪
cty	甭
jdw	颌
zdd	铝
son	谒
zvm	麾
nry	驭
jfc	俨
jwt	侬
axi	疚
huc	憔
owb	晏
nmd	驮
csg	烙
oxgt	赃
hpc	怅
uri	搔
mgu	磋
rqm	篡
nyfp	蹙
qvv	毗
qct	瞩
ril	笠
nbr	殴
dlw	唠
deo	喳
zfsl	锄
thj	隧
xpd	剌
aqhh	憨
lavy	菁
mxb	狰
egd	桔
byh	孵
cfd	蝠
xti	袅
knq	滇
aje	疹
pis	黝
kzy	汴
ifq	缰
yby	酝
gxf	垢
qrpu	掣
nii	琅
dfyo	嘈
rpf	筛
siw	谤
oyq	曙
ltq	蕾
kxe	漱
tqj	阱
nnv	琵
vmbg	胰
mtf	狒
dfo	哽
dcf	呸
ln	廿
qfb	睫
ctl	蠕
dmq	吠
rnn	筐
svs	讪
hol	惺
kcj	汲
osg	赂
yzg	酣
kbvh	澈
kzh	滤
wssi	徙
ujl	抡
hwl	惋
klet	漩
ghki	孰
qye	睬
dgc	哧
etn	椭
zef	钵
rcj	笈
lbd	茹
tjd	褒
ctu	蛾
dao	啧
tmj	衲
vyd	毡
khes	澎
eqd	窖
oat	曳
lwc	荧
vdk	吝
pjz	跄
siwr	谛
kbnv	淆
lbc	菇
svo	诣
zxv	锈
ycl	辗
xnqh	穗
hnu	惰
kytw	鲨
ezr	柿
vwti	脓
vnq	巅
dji	啄
pbn	娄
rui	帷
rnh	簧
nwh	琛
lwcc	萤
moa	奄
mmam	盎
kqv	渭
qoy	馒
utdf	攘
zcx	鸾
hdg	忡
bvf	嫖
con	蝎
cae	虬
oobx	鹦
exx	桅
okd	贻
dfq	咀
tmm	鞅
zui	翟
hne	惚
uyd	拈
zpd	钊
uqp	攒
kfs	沌
ajn	痊
pem	髯
grc	烹
vjs	豚
dik	咏
vxj	腑
sgd	诘
knam	渎
hxs	悚
uoq	撮
mmm	磊
zce	觑
wfdh	寅
lqe	茸
hwp	忱
jag	傀
tuk	亵
nmic	匾
bey	弛
aea	疙
xbu	雏
bfu	弼
nid	戍
urj	帛
imh	缭
gcgm	羹
ttm	袄
mdu	迥
jko	俟
plq	躇
gghh	墩
nbx	鸥
aru	痉
ueh	抨
tkn	阜
xhh	禾
ool	曝
tftp	乒
tgs	壬
jly	伢
yhi	孚
tqv	隅
ytg	堑
hsg	恪
epr	槛
lyq	薯
ngj	驹
hxy	惦
heh	怦
vch	炙
hvv	恺
lff	蒜
gmz	坍
zvv	铠
xpdk	韶
dyf	咔
cdni	璧
njkc	驸
tppe	霓
dlj	嗒
bpi	彝
klj	淤
unj	抉
zcus	挛
uyv	捎
dyg	呱
tjm	袱
hmh	惘
pqrr	蹑
zpm	糜
ped	蹿
lve	桀
qjk	聆
tfk	褥
axh	阑
mpdk	貂
enx	梓
phr	蹭
jut	俾
kmmz	漪
itj	矜
ggt	圭
kzb	漓
ebg	穹
szk	诃
srf	诽
vug	肛
lso	蔼
ltp	蕃
pew	鬓
yqa	辄
hop	恻
amo	阉
vqh	崽
nvp	刨
vfy	瓢
smf	祟
roy	幔
kcg	沽
rbt	笋
rxb	筝
vhhk	滕
cnn	炬
lhfm	葵
zru	铎
has	恬
evvu	楷
tof	袒
owpe	冕
ijl	纶
aaes	疡
gtk	埠
jln	偌
cdf	蜈
ehz	橙
kaor	涧
cmi	煸
nqp	瓒
cmic	蝙
sek	诲
gmm	殃
aql	痹
owyc	晖
chh	蜷
lzx	鸳
dlo	噶
lzm	蘑
lox	鹊
mcl	碾
nzk	珂
lmj	芮
lcc	茧
gch	羔
ttj	靳
gnob	堰
hgg	悻
ogx	曦
xjkd	黏
eaq	橄
jvv	偕
bdu	妩
vzj	腋
oyw	暧
kyu	涟
uis	拗
hidl	憧
tvy	胥
ltj	芹
jaiu	俸
rnf	圃
llp	薰
xmmd	秧
uhu	拌
zte	邯
hxh	悸
zlqt	锚
not	瑙
mby	砾
hfm	癸
irm	磐
wmg	凋
knkc	溥
fdvi	嬴
rdr	亟
jqf	偎
eit	橘
klwi	滢
hly	懵
ino	绚
dkhh	唆
vwbn	胺
dwh	嚓
uvvv	撬
bnv	肴
rqmi	纂
mmg	碉
pyi	蹊
yfh	忐
enmg	楠
zmj	钠
rfp	笺
kwff	渲
boo	娼
kcq	湄
idof	暨
rzv	翡
wdda	鳄
lzj	萃
esd	枷
phi	籽
fsg	骼
gyp	韬
kidl	潼
fzh	祺
rls	笙
vci	岐
hzj	悴
urqi	攥
dlae	喋
chd	蜕
bvv	聿
vcch	氮
pvl	踹
hbzj	釜
daf	叼
uvvu	揩
eex	麓
bwt	嫔
ksl	劾
yoq	辎
zil	翌
tfid	乓
irf	绯
knws	渤
jxp	俐
kphp	粱
vrf	腓
uhhy	撵
uziq	搐
lngg	茬
apho	赘
ltd	龋
aoj	瘪
zju	遽
qab	饺
jjh	怂
vea	屹
kxs	沥
ygd	辕
inq	缜
tyg	睾
smj	讷
ric	蚤
zwt	锭
eew	榨
nld	瑾
cjdk	蛤
uqqr	攫
uyk	捋
nav	骥
hkr	瓮
khp	汾
hvl	惴
kidu	溉
btg	妊
hhq	惮
znx	锌
qjx	馀
ryo	帧
uqs	撂
yqh	酵
dmu	哒
ihv	绛
woj	冗
mnh	磺
ofc	赈
knoz	瀚
pab	跤
aabj	彗
nwy	顼
rzhr	簸
txs	雳
hais	愫
zxh	镰
uxyd	掂
cdnu	擘
six	谚
yrb	卤
runr	箍
prp	跛
rts	筵
xjuv	膺
eyo	桢
uxry	皈
kjv	渝
kgi	漾
zta	铢
drrr	啜
qor	耆
zal	锵
mdm	扈
alj	瘩
txr	阪
lwi	萦
trh	囱
owff	暄
dwti	哝
kxns	漳
lmu	藐
jta	侏
ezv	栩
dkp	吮
lwm	莞
mej	砚
nco	匮
kxm	涣
kmhy	潦
pcc	踞
xeh	秤
kkh	浚
hnh	惬
kjc	濮
asdj	瘸
nnmb	琶
acdn	癖
fbid	祗
cte	邺
evj	杞
qsgt	瞠
cii	螂
cha	烽
sjv	讹
vxh	臆
cts	蜒
cwl	蜿
ktj	沂
pit	蹂
vkw	颍
bfc	娠
bwr	帚
uchl	摒
cxx	蟾
cmn	遐
cdmj	蜗
czb	螭
koq	淄
ldda	萼
qxp	馅
lnv	苞
sjn	诠
szb	谑
vvn	氖
diz	唧
rmb	笆
sfc	蚩
ska	谥
cmhy	燎
uzj	掖
ghrg	壑
wyft	寰
qwpw	馋
pja	黔
ikh	竣
poz	蹋
npf	骁
epre	榄
hhj	豢
bhqn	婵
bic	姗
xyn	玺
qes	饬
fpsx	鹉
jnob	偃
dcr	唰
ktsu	涎
dob	呗
xzh	麒
ppf	跷
dap	嗷
cfi	丕
oqle	鼾
agka	阖
uxh	撅
kao	渍
jddo	僭
nqc	臧
cfsc	炖
dgw	噎
rjg	筱
iwth	缤
cci	烬
ncm	瑕
bmm	卯
ysg	酪
rxe	簌
kxl	漉
nfi	戌
kvw	汶
yzk	轲
kans	汛
zcv	峦
tzu	褶
zqf	铐
dga	盅
vrm	胭
pld	踵
ogyx	晾
lef	苯
ghx	恙
iob	飒
zyn	镯
laq	藕
rjp	筏
lwff	萱
xmm	奂
ljp	芥
kmt	叁
hog	憬
byf	媛
mihb	碘
dyw	嗳
mze	彤
fte	邙
akp	兖
yy	酉
lldk	茗
kor	沓
dgu	嗟
addk	闾
uku	挝
axx	癞
gcf	坯
jwf	伫
sui	雒
gyo	鹫
ljn	荃
zldl	锺
umm	挎
zpr	铿
mmmb	飙
ctph	蟋
sht	谧
fof	亘
mqf	猥
hmgd	惆
jbp	刽
btr	媲
vtf	氟
kvl	湍
lghd	蔷
nps	璐
dqr	嗫
xqh	稷
inf	缄
goe	垛
air	瘢
lnqh	蕙
kse	浒
lqsl	甥
ruuc	迳
qjkf	睑
kty	甬
ghg	逵
fyob	祯
fhw	鳖
uks	汞
weh	恣
sqd	诰
lel	旌
ntl	珑
eat	梆
umf	捺
nonj	斡
kvg	湮
cohx	螅
dln	喏
vmma	胯
lyuc	蘸
ciwl	螃
lsss	荔
caf	蚌
kfd	瀛
ctpq	蟠
pkt	踊
agk	痔
amm	皿
pmo	贰
uns	隼
lsi	芷
ljx	荼
jru	傩
wvfh	徵
kdm	泯
lwp	蓟
rdd	簪
frs	骰
vqq	脐
obq	飓
htle	孺
yxl	辘
jth	佚
gjk	羚
kfy	漕
vbu	腱
opw	晁
umn	皋
unb	抠
ejvn	桦
fpb	髅
eap	楔
sxp	谄
oxx	赡
dbv	唷
waa	寐
eqt	椰
cav	蜻
aoy	疣
dhe	嘭
czin	蟀
rpb	篓
veug	崆
mks	泵
plm	蹒
uxbd	搪
nyd	玷
zyb	卞
dcd	噼
zxl	镀
zzz	鑫
nyu	琏
bcv	娓
eor	杳
qna	犊
oby	昙
anw	闰
rbj	篆
pqe	踝
dsj	呷
hdc	熹
ioo	缨
ljid	蓓
ncg	璞
gxr	坂
zsj	钾
yax	鹞
oep	剁
soy	谩
qwo	瞑
jab	佼
deef	噤
mmq	戾
kvs	汕
xbjo	赓
qlo	馍
dum	嗥
coi	煜
sxy	谙
ghkg	塾
lfe	茉
pegd	髻
kys	泗
xgd	秸
tnj	袂
nlo	贲
kuf	湃
pdu	迢
dkq	哞
keh	淞
kps	潞
ogc	煦
bat	婊
mqe	耷
uhpu	掰
uin	拄
krc	涸
wqhx	鳃
fna	盂
jaik	傣
atc	虱
gxfp	羲
dbj	喙
fafe	欤
xzkc	麝
uwo	撸
wno	徇
nrj	匝
acd	痞
dnr	咂
mnt	豺
pla	躏
zdda	锷
ogd	夙
ikc	纣
qgka	瞌
eth	窿
snc	诙
dqv	喟
lhy	荪
nnf	匍
ghrd	啬
gzk	坷
gwth	殡
kch	潺
vcj	岌
ighd	缮
kxx	澹
ukic	蛰
dljz	嗬
xtj	斛
zao	锏
hmf	恫
clom	蟆
qad	町
nvf	骠
dbn	唏
iyw	绶
lss	卅
ewo	橹
zob	钡
kzhb	淇
vmg	胱
csgt	螳
uvvj	皑
spj	谀
mmx	鸯
pqq	跻
upbh	擞
eaio	椿
doob	嘤
rqf	篝
xid	厩
xovs	嵇
vih	腆
cinw	蛀
xte	邬
gghx	恚
hos	夔
yrrr	辍
dje	咻
kdv	涓
rbk	箓
yth	轶
pic	跚
ehj	邃
dnwt	嚏
ozu	曜
umnz	翱
nqe	珥
qaq	瞰
jpv	岱
pjj	臼
qwpe	眈
ljd	葆
mqem	猓
rxx	籁
ljkc	苻
sgh	谆
mrf	扉
etk	槌
rzh	箕
lxl	蔗
dxc	啾
vbm	腼
lwy	荤
vfp	剽
krug	泾
kyo	淖
ymf	酮
zrc	锢
tnvs	雹
ntd	骧
jdt	龛
kthx	恿
tybj	裆
mxh	獗
lddx	鹳
ala	牒
exn	樟
cidk	焙
agh	痣
elw	檬
asv	疵
czu	熠
qhf	睽
kwa	泞
ctf	蚯
ckt	蛹
qwl	畹
kzjn	淬
hjz	怆
yhu	罹
obp	飕
kwm	浣
ejb	桧
nzh	琥
zcz	銮
gnwz	鋆
dzjn	啐
wfc	宸
kaf	沣
qah	睐
hvpz	翦
ddmw	颚
kmp	沅
zgg	镐
vax	斓
nnh	璜
fgk	祛
bdm	娲
xnv	庖
cidh	咫
ljb	荟
jidl	僮
ocv	昵
uab	皎
vkh	氦
mhf	罔
afi	闩
ewt	槟
kwoa	溟
ivf	缥
ecq	楣
crd	蛔
xmb	靥
psm	黜
dnd	囔
ndf	骋
htj	忻
ead	榈
akh	阂
bfl	妍
evvv	橇
aww	瘠
xic	灸
dxh	噫
een	杵
zgm	镁
jqqq	儡
aby	耘
vmo	腌
ldae	觐
yuc	醮
coe	焊
ylp	醺
pgd	黠
jmf	侗
egyx	椋
ypj	舀
eqem	窠
tut	裨
uqi	摞
axns	瘴
awgy	癣
amb	耙
lni	芍
uxgg	捱
zcem	栾
ewh	榕
lig	龈
azd	痘
qui	睢
iwk	绾
uzu	擢
pewf	鬃
zcl	弈
mmh	獠
cfq	蛆
swp	谗
zybj	铛
jwk	倌
xte	邝
gea	圪
aaem	痫
diit	啷
odm	邕
yqp	酰
ojv	晔
kcy	渥
jwv	佗
qpp	睨
cet	蜥
nwhi	孛
hqnt	郸
zuv	镌
woyr	鳗
axpd	痢
hqn	冁
xeg	秆
dtle	嚅
dvy	胄
yte	郅
cxj	蝌
aljw	瘀
vve	觊
cjd	蚪
ouu	暹
zxc	锹
qkd	饴
xghd	穑
ptl	糯
dvx	哂
uhq	掸
cyq	蛐
vnbi	岖
ctg	蜓
abj	疟
fhpu	蹩
lek	莓
szh	谌
vsj	岬
rfs	囤
bzt	嬷
